symbol,date,open,close,high,low,volume
TQQQ,2014-01-02,1.21888,1.20689,1.21972,1.19625,103732794
TQQQ,2014-01-03,1.20664,1.18077,1.21001,1.18006,102091150
TQQQ,2014-01-06,1.18157,1.16808,1.18533,1.15442,131746366
TQQQ,2014-01-07,1.18317,1.19827,1.20472,1.17729,96585183
TQQQ,2014-01-08,1.19992,1.20727,1.21742,1.19249,97566386
TQQQ,2014-01-09,1.22006,1.19491,1.22124,1.18303,110444329
TQQQ,2014-01-10,1.20448,1.20679,1.21079,1.17776,125509778
TQQQ,2014-01-13,1.20186,1.15322,1.21431,1.13954,181314594
TQQQ,2014-01-14,1.16531,1.21911,1.22148,1.16511,144551374
TQQQ,2014-01-15,1.23347,1.24746,1.25615,1.23059,126081939
TQQQ,2014-01-16,1.24593,1.25011,1.25479,1.23955,73964151
TQQQ,2014-01-17,1.23826,1.22788,1.24857,1.21924,88460236
TQQQ,2014-01-21,1.25129,1.25537,1.25757,1.22486,92085816
TQQQ,2014-01-22,1.26524,1.26715,1.27443,1.25456,82428953
TQQQ,2014-01-23,1.25456,1.25183,1.25456,1.22653,135072642
TQQQ,2014-01-24,1.23514,1.17776,1.2397,1.17766,155714071
TQQQ,2014-01-27,1.17917,1.14354,1.18475,1.1192,186300789
TQQQ,2014-01-28,1.12576,1.14316,1.14602,1.12115,114682971
TQQQ,2014-01-29,1.11278,1.10703,1.1376,1.09884,143464267
TQQQ,2014-01-30,1.14692,1.16546,1.17838,1.14291,121887813
TQQQ,2014-01-31,1.12754,1.1573,1.17407,1.12439,88471039
TQQQ,2014-02-03,1.1508,1.08055,1.16749,1.0688,192471321
TQQQ,2014-02-04,1.09391,1.10166,1.1138,1.08437,94955078
TQQQ,2014-02-05,1.09088,1.09151,1.10423,1.05543,113600990
TQQQ,2014-02-06,1.10263,1.13329,1.13812,1.10085,77733681
TQQQ,2014-02-07,1.15322,1.19346,1.19705,1.14354,117250265
TQQQ,2014-02-10,1.19404,1.21527,1.21696,1.19142,87147260
TQQQ,2014-02-11,1.22231,1.25694,1.26389,1.21933,122981449
TQQQ,2014-02-12,1.26445,1.2628,1.27244,1.25287,113556065
TQQQ,2014-02-13,1.23572,1.29542,1.29542,1.23539,111598795
TQQQ,2014-02-14,1.29361,1.29926,1.30882,1.2798,99385667
TQQQ,2014-02-18,1.30643,1.31947,1.32642,1.29686,72575025
TQQQ,2014-02-19,1.31172,1.29062,1.32043,1.28366,142877796
TQQQ,2014-02-20,1.29361,1.30926,1.31709,1.27803,107498676
TQQQ,2014-02-21,1.32224,1.30262,1.3276,1.29993,87862628
TQQQ,2014-02-24,1.31046,1.32546,1.34295,1.30643,104195043
TQQQ,2014-02-25,1.33073,1.32067,1.33863,1.30808,97351805
TQQQ,2014-02-26,1.33217,1.31636,1.3432,1.30165,86765377
TQQQ,2014-02-27,1.31755,1.34221,1.34631,1.31158,92150528
TQQQ,2014-02-28,1.34221,1.33539,1.3657,1.30293,143460093
TQQQ,2014-03-03,1.29936,1.30614,1.31827,1.27309,165963382
TQQQ,2014-03-04,1.35038,1.35876,1.36533,1.34736,114062179
TQQQ,2014-03-05,1.36509,1.36989,1.37626,1.35612,80644194
TQQQ,2014-03-06,1.37806,1.36475,1.38166,1.3507,97100572
TQQQ,2014-03-07,1.38009,1.34511,1.38223,1.32499,138678344
TQQQ,2014-03-10,1.34295,1.34797,1.3507,1.32259,79111311
TQQQ,2014-03-11,1.35818,1.3312,1.36856,1.31947,125448640
TQQQ,2014-03-12,1.31373,1.34621,1.34822,1.29839,114887425
TQQQ,2014-03-13,1.36116,1.28905,1.36268,1.27083,197111633
TQQQ,2014-03-14,1.27501,1.26246,1.29303,1.26088,112279023
TQQQ,2014-03-17,1.28604,1.29624,1.31516,1.28459,122358636
TQQQ,2014-03-18,1.3004,1.3427,1.34677,1.29936,118316934
TQQQ,2014-03-19,1.34462,1.32067,1.34772,1.29447,142743673
TQQQ,2014-03-20,1.30836,1.33097,1.3432,1.29993,91684071
TQQQ,2014-03-21,1.35301,1.28219,1.35612,1.27625,207614573
TQQQ,2014-03-24,1.29879,1.24991,1.30053,1.21493,278594575
TQQQ,2014-03-25,1.27002,1.26151,1.29303,1.23074,180639943
TQQQ,2014-03-26,1.28106,1.21349,1.28856,1.21253,210791121
TQQQ,2014-03-27,1.20871,1.19203,1.22421,1.17262,211422817
TQQQ,2014-03-28,1.20377,1.19968,1.2385,1.18986,174123269
TQQQ,2014-03-31,1.227,1.22366,1.24866,1.22306,169754110
TQQQ,2014-04-01,1.24329,1.29001,1.2916,1.24196,186340705
TQQQ,2014-04-02,1.30653,1.30022,1.3098,1.28201,170657961
TQQQ,2014-04-03,1.30413,1.26956,1.30951,1.24654,167194498
TQQQ,2014-04-04,1.29207,1.16878,1.29752,1.15744,387972870
TQQQ,2014-04-07,1.14555,1.13374,1.1768,1.10981,327148422
TQQQ,2014-04-08,1.13837,1.16546,1.16941,1.12535,254569096
TQQQ,2014-04-09,1.17776,1.2251,1.22653,1.16878,232387804
TQQQ,2014-04-10,1.22739,1.11201,1.22759,1.10166,337427204
TQQQ,2014-04-11,1.08314,1.07321,1.12376,1.06539,221676904
TQQQ,2014-04-14,1.09965,1.09726,1.11419,1.06723,294363703
TQQQ,2014-04-15,1.10823,1.10823,1.12654,1.03911,588016205
TQQQ,2014-04-16,1.13666,1.1513,1.15193,1.10962,263181364
TQQQ,2014-04-17,1.13989,1.15193,1.1696,1.13013,184829553
TQQQ,2014-04-21,1.16098,1.17804,1.17824,1.14452,151052728
TQQQ,2014-04-22,1.18906,1.20679,1.21465,1.18445,157314914
TQQQ,2014-04-23,1.20592,1.17407,1.20689,1.17238,136957328
TQQQ,2014-04-24,1.23274,1.20857,1.23299,1.1699,262351759
TQQQ,2014-04-25,1.18628,1.15036,1.19049,1.14172,256115672
TQQQ,2014-04-28,1.16567,1.1627,1.18628,1.10703,504264223
TQQQ,2014-04-29,1.1718,1.18831,1.19501,1.15489,254881501
TQQQ,2014-04-30,1.17359,1.19876,1.20151,1.16305,192617542
TQQQ,2014-05-01,1.20289,1.20953,1.22891,1.19491,150409143
TQQQ,2014-05-02,1.22148,1.20353,1.22759,1.19386,158996724
TQQQ,2014-05-05,1.18101,1.22068,1.22148,1.17229,121169181
TQQQ,2014-05-06,1.21512,1.17359,1.21705,1.17238,169078541
TQQQ,2014-05-07,1.18243,1.16305,1.18425,1.12199,273999447
TQQQ,2014-05-08,1.15153,1.15906,1.20151,1.14316,229334785
TQQQ,2014-05-09,1.15793,1.17262,1.17501,1.13492,163664086
TQQQ,2014-05-12,1.19386,1.22949,1.23122,1.19049,133580467
TQQQ,2014-05-13,1.23395,1.23218,1.24674,1.22548,123101764
TQQQ,2014-05-14,1.22213,1.21396,1.23572,1.20506,103208372
TQQQ,2014-05-15,1.21253,1.18589,1.21911,1.16223,210830227
TQQQ,2014-05-16,1.18846,1.20799,1.21032,1.16546,149528327
TQQQ,2014-05-19,1.19729,1.23372,1.23875,1.19142,126136958
TQQQ,2014-05-20,1.23155,1.2203,1.24499,1.20472,169835269
TQQQ,2014-05-21,1.22593,1.25469,1.25636,1.22421,129324192
TQQQ,2014-05-22,1.25805,1.27021,1.28162,1.25296,132318126
TQQQ,2014-05-23,1.27562,1.29879,1.29936,1.26715,99536363
TQQQ,2014-05-27,1.31685,1.3475,1.34797,1.31287,123884590
TQQQ,2014-05-28,1.34621,1.3348,1.35214,1.33183,123923137
TQQQ,2014-05-29,1.34975,1.36188,1.36188,1.34143,91492884
TQQQ,2014-05-30,1.36188,1.36067,1.36777,1.33983,118596820
TQQQ,2014-06-02,1.36619,1.3573,1.36692,1.33097,106020953
TQQQ,2014-06-03,1.34345,1.3554,1.36174,1.33863,99493092
TQQQ,2014-06-04,1.34462,1.3698,1.3765,1.33839,110286411
TQQQ,2014-06-05,1.37409,1.40547,1.41251,1.35995,184258536
TQQQ,2014-06-06,1.42191,1.42814,1.42942,1.41202,82874621
TQQQ,2014-06-09,1.43026,1.42544,1.43628,1.4141,129854041
TQQQ,2014-06-10,1.42144,1.43359,1.43479,1.41683,76197533
TQQQ,2014-06-11,1.41743,1.43148,1.43806,1.41442,101552360
TQQQ,2014-06-12,1.42285,1.39412,1.42736,1.37806,126702748
TQQQ,2014-06-13,1.41183,1.40356,1.41568,1.38751,75342832
TQQQ,2014-06-16,1.39923,1.40868,1.42094,1.38884,94125573
TQQQ,2014-06-17,1.40667,1.4106,1.42248,1.39876,100065762
TQQQ,2014-06-18,1.4165,1.43648,1.44054,1.39047,120103246
TQQQ,2014-06-19,1.44166,1.43087,1.44415,1.41291,110843519
TQQQ,2014-06-20,1.43412,1.43604,1.44142,1.42583,59211849
TQQQ,2014-06-23,1.43479,1.43772,1.439,1.42544,72610399
TQQQ,2014-06-24,1.43772,1.43359,1.47364,1.42129,167652372
TQQQ,2014-06-25,1.42401,1.45995,1.46791,1.42305,88411303
TQQQ,2014-06-26,1.46406,1.46406,1.46406,1.42904,91609124
TQQQ,2014-06-27,1.45832,1.47863,1.48276,1.45746,77253975
TQQQ,2014-06-30,1.48036,1.48956,1.50106,1.47757,56956568
TQQQ,2014-07-01,1.50439,1.53939,1.55041,1.50345,69132943
TQQQ,2014-07-02,1.54131,1.54522,1.55329,1.53721,85794727
TQQQ,2014-07-03,1.56086,1.57508,1.57508,1.54872,67607098
TQQQ,2014-07-07,1.56923,1.55989,1.5758,1.55242,92076240
TQQQ,2014-07-08,1.55242,1.50562,1.55522,1.48582,158855879
TQQQ,2014-07-09,1.51663,1.53964,1.5425,1.50383,143282004
TQQQ,2014-07-10,1.48036,1.525,1.54188,1.47382,128910734
TQQQ,2014-07-11,1.53402,1.55146,1.55232,1.52108,127319534
TQQQ,2014-07-14,1.57303,1.58115,1.59066,1.56525,112019475
TQQQ,2014-07-15,1.58776,1.56468,1.5945,1.53018,155422088
TQQQ,2014-07-16,1.59809,1.58241,1.60261,1.57761,111512551
TQQQ,2014-07-17,1.56908,1.51927,1.58634,1.50439,168705149
TQQQ,2014-07-18,1.54307,1.59104,1.59342,1.53756,122363545
TQQQ,2014-07-21,1.58003,1.58538,1.59294,1.56359,99277258
TQQQ,2014-07-22,1.60847,1.61677,1.62275,1.60251,112399446
TQQQ,2014-07-23,1.63161,1.64719,1.65205,1.62395,107171202
